Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2016-02-18,15.31838281622849,15.52098490804496,15.151018135340784,15.283148765563965,1545200,0.0,0,,,,,,,,,,16.11039924621582
2016-02-19,15.203871207379557,15.58264694158185,15.089356753715853,15.494559288024902,1664500,0.0,0,0.01383291661318431,1.0138329166131843,,,,,,,,16.27840232849121
2016-02-22,15.61788099492528,15.776438435301332,15.450516301312554,15.494559288024902,1181300,0.0,0,0.0,1.0138329166131843,,,,,,,,16.27840232849121
2016-02-23,15.432899429529142,15.644308803615964,15.089357726522248,15.309576034545898,1330400,0.0,0,-0.011938594060043384,1.0017291769770298,,,,,,,,15.845134735107422
2016-02-24,15.054124067607823,15.327194306315937,14.648921496497742,15.265533447265623,912900,0.0,0,-0.0028767999310296277,0.9988474025497919,,,,,,,,16.128080368041992
2016-02-25,15.283146078919042,15.424085617065431,15.106970816170143,15.42408561706543,1352600,0.0,0,0.010386284262356105,1.0092217156073902,,,,,,,,15.800928115844728
2016-02-26,15.556220454946043,15.635499176731605,15.3624289573215,15.512177467346191,1237500,0.0,0,0.005711317511314595,1.0149857012645376,,,,,,,,15.579873085021973
2016-02-29,15.49455626057789,15.591452828571349,15.291955873075128,15.35361671447754,1445000,0.0,0,-0.010221695387538476,1.0046108266035043,,,,,,,,15.482610702514648
2016-03-01,15.503367392975743,15.908568225500757,15.43289760992217,15.89975929260254,910800,0.0,0,0.03557093994732985,1.040345777987055,,,,15.27874486099925,,,,15.005132675170898
2016-03-02,15.899762830363926,16.058320297547183,15.73239810845496,16.005468368530273,1222400,0.0,0,0.006648470205263601,1.0472624858951738,,,,15.353620897022463,,,,15.11124038696289
2016-03-03,15.961423910269458,16.19925840909584,15.890954118000089,16.164024353027344,860200,0.0,0,0.009906363303233245,1.0576370485542985,,,,15.424089952796791,,,,15.226183891296388
2016-03-04,16.216872527639726,16.287342303615546,15.979036403671842,16.102359771728516,1627200,0.0,0,-0.0038149275175571873,1.0536022398741807,,,,15.468131900056644,,,,15.659449577331545
2016-03-07,16.005464371670847,16.357813277349777,15.987846506353874,16.313770294189453,791700,0.0,0,0.013129164014340278,1.067435156487365,,,,15.50336738692376,,,,16.20766830444336
2016-03-08,16.1280880912639,16.225352321313505,15.509138346284788,15.747875213623049,1539800,0.07,0,-0.034688184911366715,1.0304077683982376,,,,15.73239204675996,,,,16.313770294189453
2016-03-09,15.862825507208626,16.030825226961824,15.659454673732622,15.88935089111328,617100,0.0,0,0.008983794675223589,1.0396647402212826,,,,15.824884575212453,,,,16.384511947631836
2016-03-10,15.995454874244064,16.075034385977165,15.571031936005411,15.800928115844728,769700,0.0,0,-0.0055649079609667584,1.0338791016316888,,,,15.824884575212453,,,,16.313770294189453
2016-03-11,16.030822885360596,16.313773202234614,15.951245058763346,16.225351333618164,1237400,0.0,0,0.026860651137817326,1.0616497674992975,,,,15.895355443635975,,,,16.579036712646484
2016-03-14,16.075031517593604,16.18113638996679,15.853977732558503,16.11039924621582,1646000,0.0,0,-0.007084721004726013,1.0541282750918328,,,,15.933475811817281,,,,16.950407028198242
2016-03-15,15.668296913629645,16.172301128650023,15.668296913629645,16.066194534301758,879000,0.0,0,-0.002743861976260198,1.0512358925997076,,,,15.933475811817281,,,,16.90619659423828
2016-03-16,16.066194306602732,16.296090519009837,15.977772426983528,16.234195709228516,1078300,0.0,0,0.010456811945608546,1.0622284686390968,15.784846687316895,16.493839161133614,15.075854213500175,15.933475811817281,,,,17.197988510131836
2016-03-17,16.207665634103787,16.446404158855717,15.995454174270996,16.33145523071289,1150100,0.0,0,0.005991028026666401,1.0685923091654366,15.83726201057434,16.545131813149297,15.129392207999382,15.977771252570253,,,,17.0565128326416
2016-03-18,16.43756305512047,16.490615502490364,16.269561670857765,16.4464054107666,2546200,0.0,0,0.007038575462493757,1.076113676772138,15.884854316711426,16.62187381535492,15.147834818067931,15.999876924387575,,,,17.41904067993164
2016-03-21,16.437559471437755,16.490611907241266,16.207663334280507,16.464086532592773,802600,0.0,0,0.0010750751537838,1.0772705798486826,15.93333067893982,16.688798762006968,15.177862595872673,16.030823719247888,,,,17.233354568481445
2016-03-22,16.304926388738895,16.490610744208695,16.128082699857405,16.35797882080078,825400,0.0,0,-0.0064447979899727725,1.070327788581017,15.985750818252564,16.70506605596079,15.26643558054434,16.030823719247888,,,,16.43756103515625
2016-03-23,16.349140937777076,16.393352715338736,16.225351333618164,16.225351333618164,727300,0.0,0,-0.008107816291702763,1.0616497674992975,16.03374171257019,16.677814774787485,15.389668650352894,16.079456208060005,,,,16.243030548095703
